n_ticket;date;heure;magasin;vendeur;client;produit;categorie;quantite;prix_unitaire_ht;remise;montant_ht;montant_ttc
T05-250301-082692;2025-03-01;13:52;Magasin 5 — Kaya Marché;Moussa Ilboudo;19875;Tournevis cruciforme PH2 — réf 1;Quincaillerie;3;8200;0.04;23616;27867
T05-250301-082693;2025-03-01;18:17;Magasin 5 — Kaya Marché;Salamatu Sankara;12170;Diluant nitro 5 L — réf 2;Peinture;27;4375;0.0;118125;139387
T05-250301-082694;2025-03-01;15:12;Magasin 5 — Kaya Marché;Salamatu Sankara;19501;Parpaing 15 aggloméré — réf 1;Matériaux;2;1500;0.04;2880;3398
T05-250301-082695;2025-03-01;12:20;Magasin 5 — Kaya Marché;Moussa Ilboudo;5578;Pavé autobloquant — réf 2;Matériaux;2;675;0.03;1310;1546
T05-250301-082696;2025-03-01;15:07;Magasin 5 — Kaya Marché;Adama Bationo;6420;Brique de terre cuite — réf 2;Matériaux;1;675;0.0;675;797
T05-250301-082697;2025-03-01;09:49;Magasin 5 — Kaya Marché;Salamatu Sankara;0;Casque de chantier — réf 1;Consommables;7;8250;0.0;57750;68145
T05-250301-082698;2025-03-01;10:13;Magasin 5 — Kaya Marché;Salamatu Sankara;0;Ciment CPJ35 50 kg — réf 1;Matériaux;7;6075;0.0;42525;50179
T05-250301-082699;2025-03-01;14:52;Magasin 5 — Kaya Marché;Adama Bationo;0;WC complet avec abattant — réf 1;Plomberie;10;26000;0.0;260000;306800
T05-250301-082700;2025-03-01;12:56;Magasin 5 — Kaya Marché;Boureima Ouédraogo;883;Carreau de pavement 40x40 — réf 2;Matériaux;12;1050;0.0;12600;14868
T05-250301-082701;2025-03-01;15:06;Magasin 5 — Kaya Marché;Salamatu Sankara;7687;Disjoncteur 16 A — réf 2;Electricité;3;11425;0.0;34275;40445
T05-250301-082702;2025-03-01;13:06;Magasin 5 — Kaya Marché;Salamatu Sankara;0;Pavé autobloquant — réf 2;Matériaux;14;700;0.0;9800;11564
T05-250301-082703;2025-03-01;14:57;Magasin 5 — Kaya Marché;Boureima Ouédraogo;13808;Hourdis creux 12 — réf 1;Matériaux;1;1025;0.0;1025;1209
T05-250301-082704;2025-03-01;08:11;Magasin 5 — Kaya Marché;Moussa Ilboudo;20941;Coude PVC 90° 100 — réf 1;Plomberie;6;4100;0.08;22632;26706
T05-250301-082705;2025-03-01;18:54;Magasin 5 — Kaya Marché;Salamatu Sankara;10237;Chasse d'eau 6 L — réf 1;Plomberie;3;26425;0.04;76104;89803
T05-250301-082706;2025-03-01;17:38;Magasin 5 — Kaya Marché;Adama Bationo;22579;Pointe 100 mm (kg) — réf 2;Quincaillerie;16;1425;0.0;22800;26904
T05-250301-082707;2025-03-01;08:26;Magasin 5 — Kaya Marché;Adama Bationo;4847;Pince coupante 200 mm — réf 1;Quincaillerie;6;5400;0.0;32400;38232
T05-250301-082708;2025-03-01;16:04;Magasin 5 — Kaya Marché;Moussa Ilboudo;9774;Casque de chantier — réf 2;Consommables;1;5375;0.08;4945;5835
T05-250301-082709;2025-03-01;15:43;Magasin 5 — Kaya Marché;Boureima Ouédraogo;18220;Baguette de finition 2,4 m — réf 2;Bois & panneaux;46;14425;0.0;663550;782989
T05-250301-082710;2025-03-01;11:12;Magasin 5 — Kaya Marché;Salamatu Sankara;0;Lame de lambris 4 m — réf 2;Bois & panneaux;2;15525;0.0;31050;36639
T05-250301-082711;2025-03-01;16:03;Magasin 5 — Kaya Marché;Salamatu Sankara;11669;Gants anti-coupure (paire) — réf 1;Consommables;2;8725;0.0;17450;20591
T05-250301-082712;2025-03-01;08:39;Magasin 5 — Kaya Marché;Moussa Ilboudo;9105;Fer à béton 8 mm (barre) — réf 2;Quincaillerie;19;2225;0.04;40584;47889
T05-250301-082713;2025-03-01;18:03;Magasin 5 — Kaya Marché;Moussa Ilboudo;5096;Fer à béton 8 mm (barre) — réf 2;Quincaillerie;10;2300;0.0;23000;27140
T05-250301-082714;2025-03-01;15:15;Magasin 5 — Kaya Marché;Boureima Ouédraogo;20513;Enduit de lissage 20 kg — réf 1;Matériaux;5;7500;0.0;37500;44250
T05-250301-082715;2025-03-01;13:49;Magasin 5 — Kaya Marché;Boureima Ouédraogo;3696;Perforateur 800 W — réf 2;Quincaillerie;6;5650;0.0;33900;40002
T05-250302-082743;2025-03-02;13:34;Magasin 5 — Kaya Marché;Boureima Ouédraogo;18255;WC complet avec abattant — réf 1;Plomberie;6;27000;0.0;162000;191160
T05-250302-082743;2025-03-02;10:09;Magasin 5 — Kaya Marché;Boureima Ouédraogo;14924;Sac de transport 100 kg — réf 1;Consommables;6;8575;0.0;51450;60711
T05-250302-082743;2025-03-02;13:32;Magasin 5 — Kaya Marché;Boureima Ouédraogo;0;Peinture acrylique blanc 10 L — réf 1;Peinture;6;4225;0.0;25350;29913
T05-250302-082744;2025-03-02;10:07;Magasin 5 — Kaya Marché;Moussa Ilboudo;8700;Plâtre de construction 25 kg — réf 2;Matériaux;5;5875;0.0;29375;34663
T05-250302-082744;2025-03-02;18:31;Magasin 5 — Kaya Marché;Adama Bationo;2149;Parpaing 15 aggloméré — réf 1;Matériaux;11;1425;0.0;15675;18497
T05-250302-082744;2025-03-02;08:47;Magasin 5 — Kaya Marché;Boureima Ouédraogo;3668;Marteau de menuisier — réf 2;Quincaillerie;4;8725;0.0;34900;41182
T05-250302-082745;2025-03-02;11:13;Magasin 5 — Kaya Marché;Adama Bationo;;Tout-venant (m3) — réf 1;Matériaux;9;16475;0.0;148275;174965
T05-250302-082745;2025-03-02;11:52;Magasin 5 — Kaya Marché;Adama Bationo;19185;Lampe solaire murale — réf 1;Electricité;3;10175;0.0;30525;36019
T05-250303-082910;2025-03-03;08:03;Magasin 5 — Kaya Marché;Moussa Ilboudo;0;Marteau de menuisier — réf 2;Quincaillerie;1;8775;0.0;8775;10355
T05-250303-082910;2025-03-03;16:39;Magasin 5 — Kaya Marché;Salamatu Sankara;4415;Tableau 18 modules — réf 2;Electricité;1;9075;0.0;9075;10709
T05-250303-082911;2025-03-03;07:06;Magasin 5 — Kaya Marché;Salamatu Sankara;13669;Brouette 90 L — réf 2;Consommables;1;9875;0.0;9875;11653
T05-250303-082911;2025-03-03;09:44;Magasin 5 — Kaya Marché;Salamatu Sankara;5228;Marteau de menuisier — réf 1;Quincaillerie;8;9400;0.08;69184;81637
T05-250303-082912;2025-03-03;08:38;Magasin 5 — Kaya Marché;Salamatu Sankara;16351;Panneau solaire 100 W — réf 2;Electricité;1;15575;0.03;15108;17827
T05-250303-082912;2025-03-03;08:47;Magasin 5 — Kaya Marché;Salamatu Sankara;9672;Tournevis cruciforme PH2 — réf 1;Quincaillerie;13;7900;0.04;98592;116339
T05-250303-082913;2025-03-03;16:01;Magasin 5 — Kaya Marché;Adama Bationo;22643;Robinet mitigeur évier — réf 1;Plomberie;26;33375;0.04;833040;982987
T05-250303-082913;2025-03-03;16:03;Magasin 5 — Kaya Marché;Salamatu Sankara;640;Pavé autobloquant — réf 2;Matériaux;2;700;0.0;1400;1652
T05-250401-086352;2025-04-01;11:01;Magasin 5 — Kaya Marché;Boureima Ouédraogo;0;Échelle aluminium 4 marches — réf 1;Consommables;3;8650;0.0;25950;30621
T05-250401-086353;2025-04-01;12:45;Magasin 5 — Kaya Marché;Moussa Ilboudo;13771;Plaque de plâtre 13 mm — réf 2;Bois & panneaux;4;13900;0.04;53376;62984
T05-250401-086354;2025-04-01;12:37;Magasin 5 — Kaya Marché;Moussa Ilboudo;19670;Écrou hexagonal 10 (sachet) — réf 2;Quincaillerie;3;2200;0.04;6336;7476
T05-250401-086355;2025-04-01;08:45;Magasin 5 — Kaya Marché;Boureima Ouédraogo;12205;WC complet avec abattant — réf 2;Plomberie;4;31850;0.0;127400;150332
T05-250401-086356;2025-04-01;17:02;Magasin 5 — Kaya Marché;Moussa Ilboudo;6969;Ciment CPJ35 50 kg — réf 2;Matériaux;39;4100;0.0;159900;188682
T05-250401-086357;2025-04-01;13:18;Magasin 5 — Kaya Marché;Adama Bationo;22824;Chasse d'eau 6 L — réf 1;Plomberie;-5;26625;0.04;-127800;-150804
T05-250401-086358;2025-04-01;17:48;Magasin 5 — Kaya Marché;Boureima Ouédraogo;;Tube PER 16x2 (rouleau) — réf 2;Plomberie;3;3300;0.0;9900;11682
T05-250401-086359;2025-04-01;18:04;Magasin 5 — Kaya Marché;Adama Bationo;0;Tube PVC évacuation 100 mm (ml) — réf 1;Plomberie;2;3475;0.0;6950;8201
T05-250401-086360;2025-04-01;08:47;Magasin 5 — Kaya Marché;Salamatu Sankara;20670;Enduit de rebouchage 5 kg — réf 1;Peinture;11;4225;0.0;46475;54841
T05-250401-086361;2025-04-01;10:42;Magasin 5 — Kaya Marché;Adama Bationo;;Coude PVC 90° 100 — réf 1;Plomberie;3;4075;0.0;12225;14425
T05-250401-086362;2025-04-01;16:34;Magasin 5 — Kaya Marché;Boureima Ouédraogo;2446;Peinture glycéro 1 L — réf 1;Peinture;12;3250;0.0;39000;46020
T05-250401-086363;2025-04-01;15:34;Magasin 5 — Kaya Marché;Moussa Ilboudo;12082;Sac de transport 100 kg — réf 1;Consommables;2;8650;0.04;16608;19597
T05-250401-086364;2025-04-01;11:16;Magasin 5 — Kaya Marché;Salamatu Sankara;367;Hourdis creux 12 — réf 2;Matériaux;4;1500;0.04;5760;6797
T05-250401-086365;2025-04-01;15:20;Magasin 5 — Kaya Marché;Adama Bationo;0;Gravier 15/25 (m3) — réf 1;Matériaux;5;30550;0.0;152750;180245
T05-250401-086366;2025-04-01;10:34;Magasin 5 — Kaya Marché;Adama Bationo;2661;Douche de toilettes — réf 2;Plomberie;13;30850;0.0;401050;473239
T05-250401-086367;2025-04-01;12:11;Magasin 5 — Kaya Marché;Boureima Ouédraogo;12489;Pavé autobloquant — réf 1;Matériaux;1;1125;0.0;1125;1327
T05-250401-086368;2025-04-01;10:06;Magasin 5 — Kaya Marché;Boureima Ouédraogo;9106;Tout-venant (m3) — réf 2;Matériaux;5;23400;0.0;117000;138060
T05-250401-086369;2025-04-01;12:57;Magasin 5 — Kaya Marché;Boureima Ouédraogo;21755;Perforateur 800 W — réf 1;Quincaillerie;2;8000;0.08;14720;17370
T05-250401-086370;2025-04-01;13:30;Magasin 5 — Kaya Marché;Moussa Ilboudo;0;Perforateur 800 W — réf 2;Quincaillerie;2;5800;0.0;11600;13688
T05-250401-086371;2025-04-01;17:32;Magasin 5 — Kaya Marché;Adama Bationo;3959;Passe-câble étanche — réf 1;Electricité;2;16775;0.0;33550;39589
T05-250401-086372;2025-04-01;16:07;Magasin 5 — Kaya Marché;Adama Bationo;18885;Sable de rivière (m3) — réf 1;Matériaux;4;25975;0.0;103900;122602
T05-250401-086373;2025-04-01;17:07;Magasin 5 — Kaya Marché;Adama Bationo;22027;Cheville nylon 8 mm (sachet) — réf 2;Quincaillerie;11;2175;0.04;22968;27102
T05-250401-086374;2025-04-01;11:48;Magasin 5 — Kaya Marché;Salamatu Sankara;;Cheville nylon 8 mm (sachet) — réf 2;Quincaillerie;5;2150;0.0;10750;12685
T05-250401-086375;2025-04-01;15:23;Magasin 5 — Kaya Marché;Moussa Ilboudo;5345;Pince coupante 200 mm — réf 1;Quincaillerie;-3;5200;0.0;-15600;-18408
T05-250401-086376;2025-04-01;16:39;Magasin 5 — Kaya Marché;Moussa Ilboudo;19650;Bêche à manche bois — réf 2;Consommables;-3;5800;0.04;-16704;-19711
T05-250401-086377;2025-04-01;11:37;Magasin 5 — Kaya Marché;Adama Bationo;23136;Tableau 18 modules — réf 1;Electricité;3;8775;0.04;25272;29821
T05-250401-086378;2025-04-01;16:36;Magasin 5 — Kaya Marché;Adama Bationo;15288;Scie égoïne 500 mm — réf 1;Quincaillerie;4;10975;0.0;43900;51802
T05-250401-086379;2025-04-01;16:47;Magasin 5 — Kaya Marché;Salamatu Sankara;9940;Hourdis creux 12 — réf 2;Matériaux;4;1550;0.0;6200;7316
T05-250401-086380;2025-04-01;17:13;Magasin 5 — Kaya Marché;Salamatu Sankara;11981;Tournevis cruciforme PH2 — réf 1;Quincaillerie;10;8200;0.0;82000;96760
T05-250402-086501;2025-04-02;08:43;Magasin 5 — Kaya Marché;Adama Bationo;19457;Brouette 90 L — réf 2;Consommables;7;10125;0.03;68749;81124
T05-250402-086501;2025-04-02;10:29;Magasin 5 — Kaya Marché;Salamatu Sankara;7706;Peinture glycéro 1 L — réf 2;Peinture;16;3900;0.04;59904;70687
T05-250402-086502;2025-04-02;17:58;Magasin 5 — Kaya Marché;Salamatu Sankara;8920;Chasse d'eau 6 L — réf 1;Plomberie;3;25900;0.04;74592;88019
T05-250402-086502;2025-04-02;08:11;Magasin 5 — Kaya Marché;Adama Bationo;6563;Écrou hexagonal 10 (sachet) — réf 1;Quincaillerie;-4;1450;0.04;-5568;-6570
T05-250402-086503;2025-04-02;18:21;Magasin 5 — Kaya Marché;Salamatu Sankara;2883;Gravier 15/25 (m3) — réf 1;Matériaux;4;30950;0.08;113896;134397
T05-250402-086503;2025-04-02;18:23;Magasin 5 — Kaya Marché;Salamatu Sankara;14971;Ciment CPJ45 50 kg — réf 2;Matériaux;17;6475;0.04;105672;124693
T05-250402-086504;2025-04-02;12:02;Magasin 5 — Kaya Marché;Boureima Ouédraogo;5989;Panneau MDF 12 mm — réf 1;Bois & panneaux;3;17675;0.0;53025;62569
T05-250402-086504;2025-04-02;18:11;Magasin 5 — Kaya Marché;Boureima Ouédraogo;0;Sac de transport 100 kg — réf 2;Consommables;-1;7675;0.0;-7675;-9057
T05-250402-086505;2025-04-02;14:55;Magasin 5 — Kaya Marché;Boureima Ouédraogo;7693;Parpaing 15 aggloméré — réf 1;Matériaux;27;1450;0.08;36018;42501
