id_client,nom,type_client,ville,region,telephone,email,date_creation,segment,conditions_paiement,plafond_credit
26,SARL o,Professionnel,Bobo-Dioulasso,Hauts-Bassins,+226 78 68 35 84 77,contact26@yahoo.fr,2022-09-30,Standard,30 j,0
27,Menage 00027,Particulier,Ouagadougou,Centre,+226 77 25 66 41 84,,2020-12-16,Argent,Comptant,250000
28,Menage 00028,Particulier,Ouagadougou,Centre,+226 71 78 65 28 19,,2016-06-27,Argent,Comptant,0
29,Societe n,Professionnel,Ouagadougou,Centre,+226 79 16 30 83 88,,2021-07-05,Standard,30 j,0
30,Chantiers u,Professionnel,Ouagadougou,Centre,+226 74 18 30 32 14,contact30@yahoo.fr,2019-02-19,Argent,30 j,0
31,Menage 00031,Particulier,Ouagadougou,Centre,+226 79 33 74 89 11,,2016-04-03,Standard,30 j,1500000
32,Menage 00032,Particulier,Ouagadougou,Centre,+226 77 34 69 66 88,,2017-04-18,Standard,30 j,1500000
33,Menage 00033,Particulier,Kaya,Centre-Nord,+226 77 38 59 19 20,,2018-02-22,Standard,30 j,0
34,Menage 00034,Particulier,Koudougou,Centre-Ouest,+226 74 33 10 54 90,,2018-03-20,Standard,Comptant,250000
35,Chantiers K,Entreprise,Ouagadougou,Centre,+226 71 16 42 85 62,contact35@gmail.com,2023-04-18,Standard,60 j,0
36,SARL a,Professionnel,Bobo-Dioulasso,Hauts-Bassins,+226 74 95 93 12 73,contact36@entreprise.bf,2022-05-30,Or,30 j,500000
37,Menage 00037,Particulier,Ouagadougou,Centre,+226 75 59 99 96 61,,2024-07-27,Argent,60 j,0
38,Menage 00038,Particulier,Ouagadougou,Centre,+226 75 48 99 38 15,,2024-10-02,Standard,Comptant,1500000
39,Chantiers r,Entreprise,Bobo-Dioulasso,Hauts-Bassins,+226 76 72 75 48 46,contact39@gmail.com,2022-06-02,Standard,Comptant,1500000
40,Chantiers r,Professionnel,Bobo-Dioulasso,Hauts-Bassins,+226 70 63 29 13 33,,2019-09-21,Standard,Comptant,250000
41,Menage 00041,Particulier,Ouagadougou,Centre,+226 73 54 82 51 95,,2024-09-09,Or,Comptant,0
42,Menage 00042,Particulier,Kaya,Centre-Nord,+226 79 19 42 90 46,,2019-08-27,Standard,60 j,0
43,Menage 00043,Particulier,Koudougou,Centre-Ouest,+226 74 94 60 69 71,,2019-08-24,Standard,Comptant,0
44,SARL b,Professionnel,,Centre-Nord,+226 72 97 55 22 84,,2024-12-11,Standard,Comptant,250000
45,Menage 00045,Particulier,Ouagadougou,Centre,+226 75 33 79 43 50,,2020-01-04,Standard,Comptant,500000
46,SARL o,Professionnel,Koudougou,Centre-Ouest,+226 71 69 70 22 62,,2023-04-07,Standard,Comptant,0
47,SARL b,Professionnel,Ziniaré,Plateau-Central,+226 73 69 18 61 83,,2021-11-06,Argent,Comptant,0
48,SARL p,Professionnel,Ouagadougou,Centre,+226 76 37 45 34 16,contact48@gmail.com,2016-05-19,Or,30 j,0
49,Menage 00049,Particulier,Ouagadougou,Centre,+226 71 64 89 35 77,,2017-10-06,Standard,30 j,250000
50,Ets m,Professionnel,Bobo-Dioulasso,Hauts-Bassins,+226 75 53 51 80 91,,2023-12-14,Standard,Comptant,0
51,SARL t,Entreprise,Ouagadougou,Centre,+226 79 29 35 43 89,,2016-08-28,Argent,Comptant,1500000
52,Menage 00052,Particulier,Bobo-Dioulasso,Hauts-Bassins,+226 72 80 37 28 84,,2021-03-06,Or,30 j,500000
53,Menage 00053,Particulier,Koudougou,Centre-Ouest,+226 71 66 39 10 47,,2021-10-05,Standard,Comptant,1500000
54,Societe S,Professionnel,Ouagadougou,Centre,+226 72 26 91 64 35,,2020-02-20,Standard,Comptant,0
55,Chantiers é,Professionnel,Kaya,Centre-Nord,+226 72 70 15 19 88,contact55@outlook.fr,2020-02-19,Standard,30 j,500000
56,Menage 00056,Particulier,,Centre,+226 78 80 31 10 16,,2025-04-27,Argent,30 j,0
57,SARL n,Professionnel,Ouagadougou,Centre,+226 75 88 73 40 62,contact57@outlook.fr,2019-06-09,Argent,Comptant,500000
58,Menage 00058,Particulier,Ouagadougou,Centre,+226 75 13 73 79 26,,2024-06-08,Standard,Comptant,0
59,Menage 00059,Particulier,Ouagadougou,Centre,+226 70 92 86 53 18,,2023-10-18,Standard,Comptant,0
60,Menage 00060,Particulier,Ouagadougou,Centre,+226 77 48 77 76 10,,2016-11-08,Standard,Comptant,500000
61,Chantiers i,Professionnel,Ouagadougou,Centre,+226 73 17 92 71 97,contact61@entreprise.bf,2023-02-11,Argent,Comptant,1500000
62,Chantiers l,Professionnel,Ouagadougou,Centre,+226 75 79 85 65 19,contact62@gmail.com,2021-04-28,Standard,30 j,5000000
63,Ets g,Professionnel,Ouagadougou,Centre,+226 70 33 77 62 24,contact63@entreprise.bf,2016-04-14,Standard,Comptant,0
64,Menage 00064,Particulier,Bobo-Dioulasso,Hauts-Bassins,+226 75 67 89 76 87,,2020-10-19,Standard,Comptant,0
65,Menage 00065,Particulier,Kaya,Centre-Nord,+226 70 25 85 76 52,,2017-04-15,Standard,Comptant,0
66,Menage 00066,Particulier,Ouagadougou,Centre,+226 76 90 12 42 17,,2020-07-02,Standard,Comptant,500000
67,SARL a,Professionnel,Kaya,Centre-Nord,+226 71 15 34 54 65,contact67@outlook.fr,2019-12-19,Standard,30 j,250000
68,Menage 00068,Particulier,,Centre,+226 73 88 24 55 43,,2020-07-19,Argent,Comptant,250000
69,Societe D,Professionnel,Bobo-Dioulasso,Hauts-Bassins,+226 74 93 29 84 57,contact69@entreprise.bf,2020-03-19,Argent,60 j,1500000
70,Menage 00070,Particulier,Bobo-Dioulasso,Hauts-Bassins,+226 77 69 59 52 41,,2022-05-02,Or,Comptant,0
71,SARL o,Entreprise,Ouagadougou,Centre,+226 73 20 59 78 38,contact71@outlook.fr,2025-04-03,Argent,Comptant,0
72,Menage 00072,Particulier,Ouagadougou,Centre,+226 71 21 86 15 10,,2020-04-07,Or,Comptant,500000
73,SARL n,Professionnel,Koudougou,Centre-Ouest,+226 76 55 53 62 31,contact73@gmail.com,2025-06-01,Argent,30 j,250000
74,Ets a,Professionnel,,Plateau-Central,+226 73 29 34 95 24,,2022-12-28,Or,Comptant,5000000
75,Menage 00075,Particulier,Bobo-Dioulasso,Hauts-Bassins,+226 78 84 92 95 31,,2025-11-01,Standard,Comptant,0
76,Menage 00076,Particulier,Bobo-Dioulasso,Hauts-Bassins,+226 71 99 90 76 99,,2021-01-03,Or,30 j,250000
77,Chantiers o,Entreprise,Ziniaré,Plateau-Central,+226 75 59 80 13 19,,2025-05-20,Standard,Comptant,0
78,Ets r,Professionnel,,Centre-Nord,+226 71 22 32 78 62,contact78@outlook.fr,2021-06-09,Standard,Comptant,0
79,Ets o,Administration,Kaya,Centre-Nord,+226 75 19 26 61 86,contact79@gmail.com,2024-03-22,Standard,30 j,1500000
80,Ets N,Professionnel,Ouagadougou,Centre,+226 72 70 64 62 16,contact80@yahoo.fr,2023-08-10,Standard,Comptant,0
81,Societe o,Professionnel,Kaya,Centre-Nord,+226 70 29 13 91 68,contact81@entreprise.bf,2026-02-23,Standard,Comptant,0
82,Menage 00082,Particulier,Ziniaré,Plateau-Central,+226 78 38 70 91 32,,2023-04-06,Argent,Comptant,250000
83,Menage 00083,Particulier,Ouagadougou,Centre,+226 79 97 60 80 92,,2018-12-27,Standard,60 j,500000
84,SARL a,Administration,Kaya,Centre-Nord,+226 78 84 84 63 80,contact84@entreprise.bf,2024-03-19,Standard,Comptant,0
85,Societe Y,Entreprise,Ouagadougou,Centre,+226 70 89 78 73 82,contact85@gmail.com,2023-09-04,Argent,60 j,0
86,Chantiers o,Professionnel,Bobo-Dioulasso,Hauts-Bassins,+226 74 50 16 50 70,contact86@entreprise.bf,2019-07-24,Standard,30 j,250000
87,Ets r,Professionnel,Ouagadougou,Centre,+226 74 21 97 67 10,contact87@gmail.com,2021-12-16,Standard,Comptant,0
88,Menage 00088,Particulier,Ouagadougou,Centre,+226 78 15 82 40 55,,2024-09-19,Standard,Comptant,250000
89,Menage 00089,Particulier,Koudougou,Centre-Ouest,+226 72 89 70 86 39,,2019-08-06,Standard,Comptant,0
90,SARL D,Professionnel,Bobo-Dioulasso,Hauts-Bassins,+226 78 40 87 37 52,,2023-07-20,Or,30 j,0
91,SARL C,Professionnel,Ziniaré,Plateau-Central,+226 70 14 59 36 98,contact91@gmail.com,2022-02-19,Standard,30 j,0
92,Menage 00092,Particulier,Ziniaré,Plateau-Central,+226 78 56 57 91 30,,2022-08-11,Standard,Comptant,1500000
93,SARL é,Professionnel,Ouagadougou,Centre,+226 76 37 80 40 90,contact93@entreprise.bf,2016-04-04,Standard,Comptant,1500000
94,Menage 00094,Particulier,Bobo-Dioulasso,Hauts-Bassins,+226 78 13 95 69 34,,2024-03-30,Standard,Comptant,0
95,Menage 00095,Particulier,Koudougou,Centre-Ouest,+226 71 66 65 68 25,,2021-07-13,Standard,Comptant,1500000
96,Societe a,Professionnel,Ouagadougou,Centre,+226 75 99 38 71 38,contact96@gmail.com,2016-05-08,Argent,Comptant,5000000
97,SARL o,Entreprise,Ouagadougou,Centre,+226 79 25 29 26 15,contact97@entreprise.bf,2023-01-19,Argent,Comptant,0
98,Chantiers i,Professionnel,Ouagadougou,Centre,+226 72 62 31 53 50,contact98@yahoo.fr,2025-09-05,Standard,Comptant,1500000
99,Menage 00099,Particulier,Ziniaré,Plateau-Central,+226 77 54 18 74 94,,2017-09-10,Standard,30 j,250000
100,Chantiers r,Entreprise,Ouagadougou,Centre,+226 79 31 28 24 73,,2026-05-28,Or,Comptant,0
101,Menage 00101,Particulier,Ziniaré,Plateau-Central,+226 72 92 93 33 69,,2026-01-15,Or,Comptant,0
102,Menage 00102,Particulier,Ouagadougou,Centre,+226 71 46 56 84 88,,2023-05-10,Argent,Comptant,250000
103,Chantiers T,Professionnel,Bobo-Dioulasso,Hauts-Bassins,+226 73 81 50 63 36,,2016-02-09,Or,30 j,500000
104,Ets o,Professionnel,Ouagadougou,Centre,+226 73 50 21 24 63,contact104@outlook.fr,2022-05-25,Standard,Comptant,250000
105,Menage 00105,Particulier,Ouagadougou,Centre,+226 73 40 29 25 25,,2025-07-24,Argent,Comptant,250000
106,Menage 00106,Particulier,Ouagadougou,Centre,+226 74 64 44 12 96,,2021-12-26,Standard,30 j,0
107,Societe r,Entreprise,Koudougou,Centre-Ouest,+226 75 63 49 32 70,,2020-06-29,Argent,30 j,1500000
108,Ets r,Entreprise,Bobo-Dioulasso,Hauts-Bassins,+226 77 70 68 80 50,contact108@outlook.fr,2020-06-14,Argent,Comptant,500000
109,Menage 00109,Particulier,Kaya,Centre-Nord,+226 70 65 16 29 54,,2018-12-24,Standard,Comptant,0
110,SARL n,Professionnel,Bobo-Dioulasso,Hauts-Bassins,+226 79 98 89 69 41,contact110@yahoo.fr,2025-05-16,Standard,30 j,0
111,Societe g,Professionnel,Ouagadougou,Centre,+226 72 56 18 60 96,contact111@yahoo.fr,2016-10-30,Standard,60 j,250000
112,Ets i,Professionnel,Ziniaré,Plateau-Central,+226 75 80 96 99 18,contact112@gmail.com,2026-02-27,Standard,Comptant,0
113,Ets o,Professionnel,Bobo-Dioulasso,Hauts-Bassins,+226 76 91 77 35 44,,2018-08-18,Standard,Comptant,0
114,SARL i,Professionnel,Ouagadougou,Centre,+226 77 96 20 14 14,contact114@gmail.com,2024-11-19,Standard,30 j,5000000
115,Menage 00115,Particulier,Kaya,Centre-Nord,+226 72 37 73 91 50,,2025-07-01,Or,Comptant,500000
116,Menage 00116,Particulier,Ouagadougou,Centre,+226 72 98 26 17 57,,2023-09-27,Standard,60 j,0
117,Menage 00117,Particulier,Kaya,Centre-Nord,+226 72 58 22 11 43,,2025-06-17,Argent,60 j,500000
118,Menage 00118,Particulier,Ouagadougou,Centre,+226 76 34 64 63 39,,2020-02-19,Or,60 j,1500000
119,Menage 00119,Particulier,Ouagadougou,Centre,+226 79 67 40 89 34,,2021-11-22,Argent,Comptant,500000
120,Ets a,Professionnel,Kaya,Centre-Nord,+226 78 83 48 76 59,contact120@entreprise.bf,2021-06-25,Standard,60 j,250000
121,Menage 00121,Particulier,Bobo-Dioulasso,Hauts-Bassins,+226 72 63 91 86 86,,2021-04-02,Standard,Comptant,250000
122,Menage 00122,Particulier,Ouagadougou,Centre,+226 71 67 22 24 54,,2021-05-19,Standard,Comptant,500000
123,Menage 00123,Particulier,Kaya,Centre-Nord,+226 70 52 55 42 84,,2023-04-06,Standard,60 j,0
124,Menage 00124,Particulier,Koudougou,Centre-Ouest,+226 74 84 99 63 54,,2026-04-14,Standard,60 j,0
125,SARL g,Professionnel,Kaya,Centre-Nord,+226 78 38 90 25 54,contact125@entreprise.bf,2020-09-13,Standard,30 j,0
126,Ets r,Professionnel,Ouagadougou,Centre,+226 75 75 39 59 29,contact126@yahoo.fr,2025-04-15,Standard,Comptant,250000
127,Chantiers o,Administration,Ziniaré,Plateau-Central,+226 70 26 48 10 38,contact127@entreprise.bf,2020-01-04,Standard,60 j,0
128,Ets é,Professionnel,Bobo-Dioulasso,Hauts-Bassins,+226 76 26 55 72 63,contact128@yahoo.fr,2023-07-31,Standard,Comptant,0
129,Ets a,Professionnel,Bobo-Dioulasso,Hauts-Bassins,+226 76 86 48 27 19,contact129@entreprise.bf,2025-04-10,Or,Comptant,0
130,Societe K,Professionnel,Bobo-Dioulasso,Hauts-Bassins,+226 71 22 28 96 37,contact130@yahoo.fr,2019-11-18,Standard,Comptant,0
131,SARL o,Administration,Ouagadougou,Centre,+226 79 79 60 55 80,,2018-12-05,Standard,Comptant,250000
132,SARL a,Entreprise,Ouagadougou,Centre,+226 78 19 79 90 31,,2025-04-28,Argent,Comptant,250000
133,Menage 00133,Particulier,,Hauts-Bassins,+226 70 47 84 46 28,,2025-03-28,Standard,Comptant,0
134,Menage 00134,Particulier,,Plateau-Central,+226 78 53 77 56 55,,2023-03-29,Argent,30 j,250000
135,Societe i,Entreprise,Bobo-Dioulasso,Hauts-Bassins,+226 73 35 59 23 66,contact135@yahoo.fr,2017-10-24,Argent,Comptant,250000
136,Menage 00136,Particulier,Ouagadougou,Centre,+226 74 23 87 51 70,,2018-04-27,Standard,Comptant,1500000
137,Societe a,Professionnel,Bobo-Dioulasso,Hauts-Bassins,+226 74 14 83 50 57,contact137@gmail.com,2026-03-22,Standard,Comptant,0
138,SARL a,Professionnel,Ouagadougou,Centre,+226 77 17 54 49 31,contact138@gmail.com,2018-07-03,Or,30 j,0
139,Menage 00139,Particulier,Bobo-Dioulasso,Hauts-Bassins,+226 70 47 22 46 59,,2019-08-31,Standard,Comptant,1500000
140,Menage 00140,Particulier,Ouagadougou,Centre,+226 76 54 19 22 15,,2024-02-12,Argent,30 j,0
141,Ets a,Professionnel,Ouagadougou,Centre,+226 73 48 83 99 31,contact141@outlook.fr,2024-01-30,Argent,Comptant,500000
142,SARL b,Professionnel,Bobo-Dioulasso,Hauts-Bassins,+226 77 11 58 98 81,,2017-05-16,Standard,30 j,500000
143,Menage 00143,Particulier,,Centre,+226 75 80 41 13 88,,2025-01-18,Argent,Comptant,0
144,Ets r,Entreprise,Ouagadougou,Centre,+226 72 46 64 86 89,contact144@entreprise.bf,2024-04-29,Standard,Comptant,250000
145,Menage 00145,Particulier,Ouagadougou,Centre,+226 70 95 28 87 61,,2018-07-01,Standard,Comptant,0
146,Ets r,Professionnel,,Centre,+226 75 85 32 51 83,,2022-11-25,Argent,Comptant,0
147,Menage 00147,Particulier,Ouagadougou,Centre,+226 75 23 12 41 87,,2025-08-22,Standard,Comptant,0
148,Menage 00148,Particulier,Bobo-Dioulasso,Hauts-Bassins,+226 72 17 89 82 22,,2023-05-01,Argent,30 j,0
149,Menage 00149,Particulier,Bobo-Dioulasso,Hauts-Bassins,+226 74 86 64 59 91,,2024-11-24,Argent,30 j,1500000
150,Ets o,Professionnel,Kaya,Centre-Nord,+226 71 73 22 16 76,contact150@gmail.com,2019-06-24,Standard,Comptant,0
151,Chantiers o,Professionnel,Ouagadougou,Centre,+226 70 98 25 27 32,contact151@yahoo.fr,2022-12-17,Standard,Comptant,0
152,SARL l,Professionnel,,Centre-Nord,+226 79 53 92 60 66,,2016-07-28,Standard,60 j,0
153,Societe m,Professionnel,Ziniaré,Plateau-Central,+226 75 34 21 28 78,,2023-06-26,Argent,Comptant,5000000
154,Menage 00154,Particulier,,Centre,+226 78 93 46 66 88,,2016-02-06,Standard,60 j,0
155,Menage 00155,Particulier,,Centre-Ouest,+226 71 32 88 14 28,,2021-07-26,Standard,Comptant,0
156,Menage 00156,Particulier,Bobo-Dioulasso,Hauts-Bassins,+226 78 67 83 39 43,,2021-02-13,Or,Comptant,250000
157,SARL é,Professionnel,Bobo-Dioulasso,Hauts-Bassins,+226 76 75 58 50 19,contact157@outlook.fr,2024-02-13,Standard,Comptant,0
158,Menage 00158,Particulier,Ouagadougou,Centre,+226 71 37 79 39 23,,2019-08-19,Argent,30 j,0
159,Ets a,Professionnel,Ziniaré,Plateau-Central,+226 71 13 83 22 33,contact159@entreprise.bf,2025-07-15,Standard,Comptant,1500000
160,Menage 00160,Particulier,Ziniaré,Plateau-Central,+226 79 92 64 11 95,,2025-02-17,Standard,Comptant,0
161,Menage 00161,Particulier,Bobo-Dioulasso,Hauts-Bassins,+226 74 81 23 57 76,,2016-11-21,Standard,30 j,500000
162,Menage 00162,Particulier,Ouagadougou,Centre,+226 74 23 52 19 34,,2021-10-01,Standard,Comptant,0
163,Menage 00163,Particulier,Koudougou,Centre-Ouest,+226 75 76 65 49 24,,2018-12-21,Standard,Comptant,0
164,Ets é,Professionnel,Ouagadougou,Centre,+226 79 32 62 91 74,contact164@outlook.fr,2018-01-06,Argent,Comptant,0
165,Chantiers a,Professionnel,Ouagadougou,Centre,+226 70 11 62 79 73,contact165@entreprise.bf,2018-05-05,Or,30 j,0
166,Menage 00166,Particulier,Ouagadougou,Centre,+226 73 35 27 50 67,,2016-06-08,Standard,Comptant,0
167,Ets r,Entreprise,Ziniaré,Plateau-Central,+226 71 58 58 62 95,contact167@yahoo.fr,2021-12-11,Standard,30 j,250000
168,Menage 00168,Particulier,Ouagadougou,Centre,+226 79 23 39 59 75,,2022-06-06,Argent,Comptant,500000
169,Menage 00169,Particulier,Koudougou,Centre-Ouest,+226 76 88 96 96 65,,2025-01-01,Or,Comptant,5000000
170,Chantiers O,Professionnel,Ouagadougou,Centre,+226 75 44 39 99 43,contact170@outlook.fr,2018-06-09,Standard,Comptant,0
171,SARL é,Entreprise,,Centre-Ouest,+226 76 23 82 69 88,,2016-08-16,Standard,30 j,500000
172,Menage 00172,Particulier,Ouagadougou,Centre,+226 76 60 36 32 36,,2016-05-31,Standard,Comptant,500000
173,Menage 00173,Particulier,Ziniaré,Plateau-Central,+226 73 86 65 60 44,,2018-06-02,Or,Comptant,0
174,Ets a,Professionnel,Ziniaré,Plateau-Central,+226 72 86 91 11 68,,2018-01-25,Standard,30 j,500000
175,Ets o,Professionnel,Kaya,Centre-Nord,+226 72 80 54 15 61,contact175@yahoo.fr,2017-10-27,Standard,60 j,0
176,Menage 00176,Particulier,,Centre-Ouest,+226 71 17 11 83 33,,2017-07-21,Standard,30 j,500000
177,Menage 00177,Particulier,Ziniaré,Plateau-Central,+226 74 96 84 21 38,,2023-11-23,Standard,30 j,0
178,Societe Y,Professionnel,Ouagadougou,Centre,+226 72 97 31 47 23,contact178@entreprise.bf,2023-11-10,Standard,Comptant,250000
179,Chantiers p,Professionnel,,Centre,+226 71 74 34 98 66,contact179@entreprise.bf,2020-03-03,Or,Comptant,0
180,Menage 00180,Particulier,Ouagadougou,Centre,+226 77 34 67 59 46,,2025-03-28,Or,Comptant,250000
181,Menage 00181,Particulier,Ouagadougou,Centre,+226 71 69 40 72 52,,2016-02-29,Standard,30 j,0
182,Menage 00182,Particulier,Ziniaré,Plateau-Central,+226 74 35 48 20 75,,2016-04-20,Standard,Comptant,0
183,Ets a,Entreprise,Ouagadougou,Centre,+226 78 32 61 69 53,contact183@outlook.fr,2017-03-13,Standard,Comptant,500000
184,Ets a,Entreprise,Ouagadougou,Centre,+226 70 22 28 69 44,,2017-03-11,Or,30 j,1500000
185,Menage 00185,Particulier,,Centre,+226 74 33 19 56 89,,2016-12-07,Argent,30 j,0
186,Menage 00186,Particulier,Koudougou,Centre-Ouest,+226 74 10 65 84 83,,2023-05-08,Standard,30 j,0
187,Ets o,Professionnel,,Centre-Ouest,+226 71 73 68 83 13,,2020-08-09,Argent,Comptant,0
188,Menage 00188,Particulier,Koudougou,Centre-Ouest,+226 73 71 73 55 90,,2021-09-26,Standard,Comptant,0
189,Menage 00189,Particulier,Ouagadougou,Centre,+226 75 57 88 13 18,,2024-07-30,Argent,Comptant,5000000
190,Societe é,Professionnel,Ouagadougou,Centre,+226 71 25 32 37 24,,2017-09-27,Standard,60 j,250000
191,Menage 00191,Particulier,Ouagadougou,Centre,+226 79 53 36 48 47,,2020-01-03,Standard,30 j,250000
192,Menage 00192,Particulier,Ouagadougou,Centre,+226 72 26 10 63 56,,2018-04-14,Argent,30 j,250000
193,Societe u,Professionnel,Ouagadougou,Centre,+226 78 89 20 53 47,,2016-10-04,Standard,30 j,500000
194,Chantiers r,Entreprise,Ouagadougou,Centre,+226 71 59 64 83 98,,2017-07-01,Argent,Comptant,5000000
195,Menage 00195,Particulier,Kaya,Centre-Nord,+226 74 99 26 46 86,,2026-04-23,Standard,Comptant,1500000
196,Menage 00196,Particulier,Ziniaré,Plateau-Central,+226 74 22 24 33 59,,2025-09-13,Or,30 j,1500000
197,SARL K,Professionnel,Ziniaré,Plateau-Central,+226 76 57 39 89 57,contact197@outlook.fr,2020-12-01,Argent,30 j,0
198,SARL i,Professionnel,Ouagadougou,Centre,+226 79 39 13 61 31,contact198@entreprise.bf,2025-05-04,Standard,Comptant,0
199,Menage 00199,Particulier,Ouagadougou,Centre,+226 72 19 58 80 71,,2018-04-16,Standard,Comptant,0
200,Menage 00200,Particulier,,Centre-Ouest,+226 75 87 56 92 73,,2018-06-04,Standard,Comptant,250000
201,Ets d,Professionnel,Koudougou,Centre-Ouest,+226 79 20 82 42 66,,2021-12-09,Or,Comptant,1500000
202,Menage 00202,Particulier,Bobo-Dioulasso,Hauts-Bassins,+226 75 95 62 31 35,,2022-08-25,Standard,Comptant,1500000
203,Ets i,Entreprise,Koudougou,Centre-Ouest,+226 74 61 42 84 29,contact203@entreprise.bf,2026-02-06,Argent,Comptant,250000
204,Ets K,Entreprise,Bobo-Dioulasso,Hauts-Bassins,+226 75 16 65 24 39,,2020-01-26,Standard,Comptant,0
205,Menage 00205,Particulier,Bobo-Dioulasso,Hauts-Bassins,+226 76 69 38 22 80,,2023-08-01,Standard,Comptant,0
206,Societe o,Entreprise,Ziniaré,Plateau-Central,+226 79 54 80 69 63,contact206@entreprise.bf,2020-09-28,Standard,30 j,0
207,Menage 00207,Particulier,Bobo-Dioulasso,Hauts-Bassins,+226 73 93 57 80 33,,2025-08-17,Standard,30 j,0
208,Menage 00208,Particulier,Ziniaré,Plateau-Central,+226 72 99 47 58 96,,2016-01-22,Standard,60 j,0
209,Chantiers a,Professionnel,Bobo-Dioulasso,Hauts-Bassins,+226 78 46 69 22 50,contact209@gmail.com,2018-12-07,Standard,Comptant,500000
210,SARL w,Entreprise,Koudougou,Centre-Ouest,+226 75 53 82 25 36,contact210@entreprise.bf,2024-02-12,Standard,Comptant,1500000
211,Menage 00211,Particulier,Ouagadougou,Centre,+226 74 55 80 90 84,,2019-10-30,Standard,60 j,0
212,Menage 00212,Particulier,Ouagadougou,Centre,+226 70 70 34 76 39,,2024-10-21,Standard,Comptant,250000
213,Menage 00213,Particulier,Ouagadougou,Centre,+226 75 55 81 98 97,,2019-08-07,Standard,Comptant,500000
214,Menage 00214,Particulier,Ouagadougou,Centre,+226 73 55 55 15 27,,2024-08-20,Argent,30 j,1500000
215,Chantiers n,Professionnel,Ouagadougou,Centre,+226 75 14 54 51 79,,2016-08-16,Standard,30 j,0
216,Societe o,Professionnel,Ziniaré,Plateau-Central,+226 73 74 67 67 29,contact216@entreprise.bf,2018-07-20,Argent,Comptant,500000
217,Menage 00217,Particulier,Ouagadougou,Centre,+226 76 93 52 30 58,,2025-12-17,Standard,Comptant,250000
218,Ets a,Professionnel,Ouagadougou,Centre,+226 72 81 41 88 71,contact218@outlook.fr,2017-04-01,Argent,30 j,500000
219,Menage 00219,Particulier,Ouagadougou,Centre,+226 76 57 22 94 84,,2019-04-30,Standard,60 j,0
