tx_ref,agent_code,client_phone,montant_xof,type_op,statut,date_op,commission,canal,id_export
TX0000072,AG13,7506081334,1362,in,echec,2026-01-02,34.0,USSD,72
TX0000073,AG09,+226 716 55 80 586,1867,out,Echouee,2026-01-02,19.0,Agent,73
TX0000074,AG12,+226 774 99 83 666,1399,out,echec,2026-01-02,14.0,Agent,74
TX0000075,AG19,+226 717 72 32 399,2204,in,REUSSI,2026-01-02,55.0,USSD,75
TX0000076,AG02,+226 762 88 11 680,1124,in,REUSSI,2026-01-02,28.0,Agent,76
TX0000077,AG14,754 10 63 927,1384,out,ok,2026-01-02,14.0,Agent,77
TX0000078,AG01,7655737671,4486,in,echec,2026-01-02,112.0,USSD,78
TX0000079,AG09,+226 792 03 78 960,3522,in,REUSSI,2026-01-02,88.0,Agent,79
TX0000080,AG05,+226 744 20 00 486,9807,out,Reussie,2026-01-02,98.0,Agent,80
TX0000081,AG07,724 01 46 102,3650,in,ok,2026-01-02,91.0,USSD,81
TX0000082,AG18,797 75 23 315,3311,in,OK,2026-01-02,83.0,Agent,82
TX0000083,AG11,717 35 18 756,1217,in,ok,2026-01-02,30.0,Agent,83
TX0000084,AG08,7376937920,2077,out,Reussie,2026-01-02,21.0,USSD,84
TX0000085,AG15,757 93 41 161,6327,in,REUSSI,2026-01-02,158.0,USSD,85
TX0000086,AG15,784 84 92 843,8470,out,Reussie,2026-01-02,85.0,Agent,86
TX0000087,AG03,7394259364,861,in,Reussie,2026-01-02,22.0,app,87
TX0000088,AG10,+226 780 34 90 697,2617,out,Reussie,2026-01-02,26.0,USSD,88
TX0000089,AG20,764 23 33 955,1173,out,OK,2026-01-02,12.0,USSD,89
TX0000090,AG14,787 02 22 854,2703,in,OK,2026-01-02,68.0,Agent,90
TX0000091,AG14,+226 722 86 64 473,1619,in,Echouee,2026-01-02,40.0,Agent,91
TX0000092,AG05,7755439551,660,in,echec,2026-01-02,16.0,USSD,92
TX0000093,AG17,+226 768 68 89 266,2754,in,OK,2026-01-02,69.0,Agent,93
TX0000094,AG08,7131290880,3059,out,OK,2026-01-02,31.0,Agent,94
TX0000095,AG17,+226 783 67 17 229,772,in,Reussie,2026-01-02,19.0,USSD,95
TX0000096,AG07,717 77 87 319,5518,out,REUSSI,2026-01-02,55.0,USSD,96
TX0000097,AG03,7407270704,1477,in,REUSSI,2026-01-02,37.0,USSD,97
TX0000098,AG05,741 19 80 786,3996,out,echec,2026-01-02,40.0,app,98
TX0000099,AG20,+226 799 39 07 645,1756,out,Reussie,2026-01-02,18.0,Agent,99
TX0000100,AG18,727 16 65 221,3144,out,ok,2026-01-02,31.0,Agent,100
TX0000101,AG20,+226 752 04 50 188,7083,in,ok,2026-01-02,177.0,Agent,101
TX0000102,AG07,713 80 00 994,3797,in,ok,2026-01-02,95.0,USSD,102
TX0000103,AG04,+226 760 17 77 350,3729,in,OK,2026-01-02,93.0,Agent,103
TX0000104,AG06,+226 715 74 54 719,2293,out,echec,2026-01-02,23.0,Agent,104
TX0000105,AG15,+226 777 43 80 065,924,out,OK,2026-01-02,9.0,Agent,105
TX0000106,AG20,786 09 80 058,977,in,Reussie,2026-01-02,24.0,Agent,106
TX0000107,AG13,+226 773 71 87 585,1240,out,Echouee,2026-01-02,12.0,USSD,107
TX0000108,AG08,785 10 46 011,4278,in,Reussie,2026-01-02,107.0,Agent,108
TX0000109,AG16,7282128933,1952,in,REUSSI,2026-01-02,49.0,app,109
TX0000110,AG07,+226 734 14 67 066,2043,in,Reussie,2026-01-02,51.0,USSD,110
TX0000111,AG17,7825621411,2488,out,REUSSI,2026-01-02,25.0,Agent,111
TX0000112,AG04,724 81 59 079,8084,in,ok,2026-01-02,202.0,USSD,112
TX0000113,AG20,+226 747 43 01 821,1423,out,ok,2026-01-02,14.0,USSD,113
TX0000114,AG03,746 58 77 483,1063,in,Reussie,2026-01-02,27.0,USSD,114
TX0000115,AG13,709 60 04 184,4975,in,ok,2026-01-03,124.0,USSD,115
TX0000116,AG17,+226 720 46 49 277,2005,out,echec,2026-01-03,20.0,USSD,116
TX0000117,AG15,779 63 43 312,2042,out,Reussie,2026-01-03,20.0,Agent,117
TX0000118,AG16,7160072763,3679,in,OK,2026-01-03,,USSD,118
TX0000119,AG02,759 98 63 726,1602,in,REUSSI,2026-01-03,40.0,USSD,119
TX0000120,AG12,+226 728 28 23 809,1453,in,Reussie,2026-01-03,36.0,Agent,120
TX0000121,AG18,761 96 92 943,3102,in,echec,2026-01-03,78.0,USSD,121
TX0000122,AG02,783 13 18 040,1355,in,OK,2026-01-03,34.0,Agent,122
TX0000123,AG01,732 27 67 210,3935,in,ok,2026-01-03,98.0,Agent,123
TX0000124,AG02,7258183385,1999,out,OK,2026-01-03,20.0,app,124
TX0000125,AG02,+226 776 40 48 867,4336,in,REUSSI,2026-01-03,108.0,USSD,125
TX0000126,AG06,+226 777 88 10 359,9272,in,ok,2026-01-03,232.0,Agent,126
TX0000127,AG03,+226 794 29 24 785,994,out,echec,2026-01-03,10.0,Agent,127
TX0000128,AG18,7053943219,4001,in,REUSSI,2026-01-03,100.0,USSD,128
TX0000129,AG02,781 46 17 597,2322,out,OK,2026-01-03,23.0,USSD,129
TX0000130,AG01,+226 742 74 11 692,1970,in,ok,2026-01-03,49.0,Agent,130
TX0000131,AG20,772 90 62 241,8919,in,Reussie,2026-01-03,223.0,Agent,131
TX0000132,AG18,791 46 58 249,1178,in,echec,2026-01-03,29.0,USSD,132
TX0000133,AG10,+226 722 32 33 366,2692,out,ok,2026-01-03,27.0,Agent,133
TX0000134,AG09,+226 719 47 00 152,280,in,echec,2026-01-03,7.0,Agent,134
TX0000135,AG06,+226 724 33 26 286,2121,in,Reussie,2026-01-03,53.0,USSD,135
TX0000136,AG04,+226 744 11 93 314,710,in,ok,2026-01-03,18.0,Agent,136
TX0000137,AG01,+226 763 56 85 533,2160,out,ok,2026-01-03,22.0,Agent,137
TX0000138,AG14,+226 747 34 13 702,4445,out,REUSSI,2026-01-03,44.0,USSD,138
TX0000139,AG05,+226 784 84 16 635,824,out,OK,2026-01-03,8.0,USSD,139
TX0000140,AG06,772 53 22 295,4171,in,echec,2026-01-03,104.0,Agent,140
TX0000141,AG16,+226 714 95 73 989,23395,out,OK,2026-01-03,234.0,USSD,141
TX0000142,AG20,740 26 78 559,7389,in,REUSSI,2026-01-03,185.0,Agent,142
TX0000143,AG20,+226 725 15 29 979,1905,out,Echouee,2026-01-03,19.0,Agent,143
TX0000144,AG12,787 99 59 904,5362,out,Echouee,2026-01-03,54.0,USSD,144
TX0000145,AG05,749 03 39 608,5198,out,ok,2026-01-03,52.0,Agent,145
TX0000146,AG07,720 50 18 445,2156,in,OK,2026-01-03,54.0,Agent,146
TX0000147,AG15,775 29 85 849,963,out,echec,2026-01-03,10.0,Agent,147
TX0000148,AG20,7264136027,2248,out,Reussie,2026-01-04,22.0,Agent,148
TX0000149,AG13,747 32 08 687,5762,out,OK,2026-01-04,58.0,Agent,149
TX0000150,AG03,748 65 95 753,3218,out,REUSSI,2026-01-04,32.0,Agent,150
TX0000151,AG18,7741320030,1284,in,REUSSI,2026-01-04,32.0,app,151
TX0000152,AG14,7321860300,970,out,Reussie,2026-01-04,10.0,USSD,152
TX0000153,AG09,732 94 40 867,2265,in,echec,2026-01-04,57.0,Agent,153
TX0000154,AG07,763 83 60 035,1106,out,REUSSI,2026-01-05,11.0,Agent,154
TX0000155,AG10,+226 767 55 08 042,7206,in,REUSSI,2026-01-05,180.0,USSD,155
TX0000156,AG08,700 74 63 135,1397,in,ok,2026-01-05,35.0,USSD,156
TX0000157,AG14,7173518209,515,out,Echouee,2026-01-05,5.0,Agent,157
TX0000158,AG09,774 72 11 923,3606,in,OK,2026-01-05,90.0,USSD,158
TX0000159,AG09,+226 787 40 32 377,671,in,ok,2026-01-05,17.0,USSD,159
TX0000160,AG03,730 74 45 460,3626,in,OK,2026-01-05,91.0,app,160
TX0000161,AG20,701 67 42 895,1731,in,echec,2026-01-05,43.0,Agent,161
TX0000162,AG12,7355771157,5662,out,ok,2026-01-05,57.0,Agent,162
TX0000163,AG11,+226 796 55 37 447,1702,in,OK,2026-01-05,43.0,USSD,163
TX0000164,AG19,+226 728 79 87 443,3288,in,Reussie,2026-01-05,82.0,USSD,164
TX0000165,AG09,+226 715 83 67 146,10098,out,REUSSI,2026-01-05,101.0,USSD,165
TX0000166,AG06,+226 710 49 12 794,1739,in,OK,2026-01-05,43.0,USSD,166
TX0000167,AG11,749 19 78 367,8441,out,ok,2026-01-05,84.0,Agent,167
TX0000168,AG01,731 51 71 647,2126,in,REUSSI,2026-01-05,53.0,Agent,168
TX0000169,AG04,718 20 93 697,1237,in,Reussie,2026-01-05,31.0,USSD,169
TX0000170,AG20,+226 768 03 89 413,2960,out,Reussie,2026-01-05,30.0,Agent,170
TX0000171,AG06,760 36 02 407,1153,in,Reussie,2026-01-05,29.0,USSD,171
TX0000172,AG02,713 39 97 932,2325,in,ok,2026-01-05,58.0,USSD,172
TX0000173,AG14,+226 732 17 30 186,3764,in,OK,2026-01-05,94.0,Agent,173
TX0000174,AG05,713 54 29 977,2126,in,ok,2026-01-05,53.0,Agent,174
TX0000175,AG05,+226 784 09 43 066,1724,out,echec,2026-01-05,17.0,app,175
TX0000176,AG06,704 54 10 753,1307,in,Reussie,2026-01-05,33.0,app,176
TX0000177,AG02,777 07 19 444,2408,in,OK,2026-01-05,60.0,Agent,177
TX0000178,AG12,7385780547,2352,out,Reussie,2026-01-05,24.0,Agent,178
TX0000179,AG07,7297381719,7133,in,REUSSI,2026-01-05,178.0,app,179
TX0000180,AG11,709 68 33 759,1888,out,ok,2026-01-05,19.0,Agent,180
TX0000181,AG15,743 06 40 326,15902,out,REUSSI,2026-01-05,159.0,USSD,181
TX0000182,AG02,+226 759 07 63 163,618,in,ok,2026-01-05,15.0,app,182
TX0000183,AG07,+226 769 20 11 910,10463,out,ok,2026-01-05,105.0,USSD,183
TX0000184,AG13,7797915492,3452,in,Reussie,2026-01-05,86.0,USSD,184
TX0000185,AG17,727 23 38 346,2017,out,echec,2026-01-05,20.0,USSD,185
TX0000186,AG15,736 88 33 003,4323,out,OK,2026-01-05,43.0,USSD,186
TX0000187,AG05,771 81 36 775,4223,out,OK,2026-01-05,42.0,Agent,187
TX0000188,AG15,723 34 08 361,1078,in,REUSSI,2026-01-05,27.0,Agent,188
TX0000189,AG08,+226 781 85 39 071,1825,in,ok,2026-01-05,46.0,USSD,189
TX0000190,AG19,705 23 05 299,1832,in,Reussie,2026-01-05,46.0,Agent,190
TX0000191,AG09,+226 703 92 80 487,6752,out,Reussie,2026-01-05,68.0,USSD,191
TX0000192,AG06,714 31 85 704,3404,in,Echouee,2026-01-05,85.0,Agent,192
TX0000193,AG19,7854461441,5373,out,OK,2026-01-05,54.0,app,193
TX0000194,AG07,+226 757 74 44 353,2818,in,Reussie,2026-01-05,70.0,Agent,194
TX0000195,AG13,+226 754 29 83 777,10652,out,Reussie,2026-01-05,107.0,USSD,195
TX0000196,AG16,+226 790 50 18 633,4801,out,Reussie,2026-01-05,48.0,app,196
TX0000197,AG02,724 79 42 128,1509,out,OK,2026-01-05,15.0,Agent,197
TX0000198,AG20,715 28 11 632,1670,out,ok,2026-01-05,17.0,USSD,198
TX0000199,AG02,+226 738 06 47 940,5309,out,REUSSI,2026-01-05,53.0,USSD,199
TX0000200,AG16,+226 740 27 15 943,1928,in,REUSSI,2026-01-05,48.0,Agent,200
TX0000201,AG18,748 18 46 423,1782,in,Reussie,2026-01-05,45.0,Agent,201
TX0000202,AG09,7308709999,3671,in,Reussie,2026-01-05,92.0,Agent,202
TX0000203,AG20,+226 768 78 13 120,1809,out,ok,2026-01-05,18.0,app,203
TX0000204,AG14,7295632316,1998,out,OK,2026-01-05,20.0,Agent,204
TX0000205,AG01,+226 768 83 48 605,1089,out,Reussie,2026-01-05,11.0,USSD,205
TX0000206,AG09,763 78 36 930,1576,in,Echouee,2026-01-05,39.0,Agent,206
TX0000207,AG18,782 31 39 991,2552,in,Echouee,2026-01-05,64.0,Agent,207
TX0000208,AG17,715 94 94 450,2365,out,REUSSI,2026-01-05,24.0,USSD,208
TX0000209,AG10,7710723755,16638,in,ok,2026-01-05,416.0,USSD,209
TX0000210,AG10,+226 732 47 15 739,317,out,REUSSI,2026-01-05,3.0,Agent,210
TX0000211,AG15,7434795969,1235,out,Echouee,2026-01-05,12.0,USSD,211
TX0000212,AG06,+226 778 09 81 611,3815,in,REUSSI,2026-01-05,95.0,Agent,212
TX0000213,AG18,7862638692,2664,out,Reussie,2026-01-05,27.0,USSD,213
TX0000214,AG06,+226 727 93 33 176,514,in,echec,2026-01-05,13.0,app,214
TX0000215,AG12,773 60 04 760,1372,in,REUSSI,2026-01-05,34.0,USSD,215
TX0000216,AG01,7031171571,1081,in,Reussie,2026-01-05,27.0,Agent,216
TX0000217,AG15,7567841852,9123,out,OK,2026-01-05,91.0,Agent,217
TX0000218,AG16,+226 741 65 83 134,2016,out,REUSSI,2026-01-05,20.0,app,218
TX0000219,AG05,+226 764 82 76 779,1902,out,echec,2026-01-05,19.0,Agent,219
TX0000220,AG07,783 21 61 253,4310,in,REUSSI,2026-01-05,108.0,Agent,220
TX0000221,AG01,7000585656,37122,in,Reussie,2026-01-05,928.0,USSD,221
TX0000222,AG01,712 84 57 538,12272,in,OK,2026-01-05,307.0,USSD,222
TX0000223,AG20,+226 704 98 04 912,1075,in,REUSSI,2026-01-05,27.0,Agent,223
TX0000224,AG03,765 59 65 285,1612,out,REUSSI,2026-01-05,16.0,Agent,224
TX0000225,AG09,7983193162,1055,in,REUSSI,2026-01-05,26.0,Agent,225
TX0000226,AG02,+226 765 33 02 109,1683,in,echec,2026-01-05,42.0,Agent,226
TX0000227,AG14,708 59 75 848,927,in,Reussie,2026-01-05,23.0,Agent,227
TX0000228,AG09,+226 759 68 36 658,13522,out,Reussie,2026-01-05,135.0,app,228
TX0000229,AG09,7973748909,3313,out,Reussie,2026-01-05,33.0,Agent,229
TX0000230,AG06,798 24 04 185,313,out,Echouee,2026-01-05,3.0,USSD,230
TX0000231,AG01,+226 779 99 85 553,765,out,Reussie,2026-01-05,8.0,app,231
TX0000232,AG09,747 69 56 767,1442,out,ok,2026-01-05,14.0,USSD,232
TX0000233,AG10,+226 739 68 09 232,889,in,OK,2026-01-05,22.0,Agent,233
TX0000234,AG07,7770994641,2271,out,OK,2026-01-05,23.0,Agent,234
TX0000235,AG13,719 00 01 946,1257,in,REUSSI,2026-01-05,31.0,USSD,235
TX0000236,AG14,773 86 37 533,7153,in,OK,2026-01-05,179.0,USSD,236
TX0000237,AG02,+226 787 95 21 076,3895,out,Reussie,2026-01-05,39.0,USSD,237
TX0000238,AG09,7207526079,6880,in,Reussie,2026-01-05,172.0,Agent,238
TX0000239,AG08,774 03 04 847,3393,out,ok,2026-01-05,34.0,app,239
TX0000240,AG01,+226 768 78 58 404,4396,in,Echouee,2026-01-05,110.0,Agent,240
TX0000241,AG13,+226 750 02 00 174,7146,in,ok,2026-01-05,179.0,USSD,241
TX0000242,AG11,+226 757 64 26 705,6406,in,Echouee,2026-01-05,160.0,USSD,242
TX0000243,AG03,7880996156,3737,in,Reussie,2026-01-05,93.0,Agent,243
TX0000244,AG13,+226 784 76 02 365,4987,out,Reussie,2026-01-05,50.0,Agent,244
TX0000245,AG10,+226 701 23 70 658,1061,in,ok,2026-01-05,27.0,Agent,245
TX0000246,AG04,766 85 58 394,1715,out,OK,2026-01-05,17.0,USSD,246
TX0000247,AG18,710 74 33 761,2371,in,Reussie,2026-01-05,59.0,Agent,247
TX0000248,AG08,+226 768 10 80 431,2527,in,REUSSI,2026-01-05,63.0,USSD,248
TX0000249,AG12,763 73 66 497,1681,in,Echouee,2026-01-05,42.0,USSD,249
TX0000250,AG19,798 24 04 488,345,out,OK,2026-01-05,3.0,USSD,250
TX0000251,AG11,+226 701 64 80 773,5662,out,echec,2026-01-05,57.0,USSD,251
TX0000252,AG06,+226 752 66 43 507,356,in,echec,2026-01-05,9.0,USSD,252
TX0000253,AG17,7260465058,6972,in,Reussie,2026-01-05,174.0,USSD,253
TX0000254,AG20,738 41 59 696,2175,in,Echouee,2026-01-05,54.0,USSD,254
TX0000255,AG16,+226 768 21 20 893,2140,in,echec,2026-01-05,54.0,USSD,255
TX0000256,AG19,717 52 36 620,20913,out,Reussie,2026-01-05,209.0,app,256
TX0000257,AG14,7484143738,1935,in,OK,2026-01-05,48.0,Agent,257
TX0000258,AG12,+226 737 13 20 230,6526,out,OK,2026-01-05,65.0,app,258
TX0000259,AG18,779 87 37 112,1865,out,OK,2026-01-05,19.0,Agent,259
TX0000260,AG13,7665863236,1791,out,echec,2026-01-05,18.0,Agent,260
TX0000261,AG18,7398001960,464,in,Reussie,2026-01-05,12.0,Agent,261
TX0000262,AG12,7483082415,3972,in,REUSSI,2026-01-05,99.0,Agent,262
TX0000263,AG10,793 38 96 618,1427,out,Reussie,2026-01-05,14.0,USSD,263
TX0000264,AG13,7370873917,1197,in,REUSSI,2026-01-06,30.0,USSD,264
TX0000265,AG14,+226 784 62 42 724,374,in,OK,2026-01-06,9.0,app,265
TX0000266,AG09,714 86 66 357,1185,in,REUSSI,2026-01-06,30.0,Agent,266
TX0000267,AG17,7532323396,6169,in,OK,2026-01-06,154.0,Agent,267
TX0000268,AG03,752 16 51 648,6280,in,Echouee,2026-01-06,157.0,app,268
TX0000269,AG13,+226 787 80 36 771,1137,out,REUSSI,2026-01-06,11.0,Agent,269
TX0000270,AG20,+226 776 78 34 981,3581,in,ok,2026-01-06,90.0,Agent,270
TX0000271,AG18,7930353143,3491,out,REUSSI,2026-01-06,35.0,USSD,271
TX0000272,AG13,700 95 20 372,3222,in,OK,2026-01-06,81.0,USSD,272
TX0000273,AG05,784 91 05 917,3493,out,OK,2026-01-06,35.0,USSD,273
TX0000274,AG09,+226 782 14 54 928,984,in,Reussie,2026-01-06,25.0,Agent,274
TX0000275,AG07,+226 760 39 75 349,1880,in,REUSSI,2026-01-06,47.0,Agent,275
TX0000276,AG06,+226 739 51 84 315,2894,in,echec,2026-01-06,72.0,USSD,276
TX0000277,AG13,+226 756 50 16 785,3410,in,ok,2026-01-06,85.0,USSD,277
TX0000278,AG14,762 09 99 786,1588,in,echec,2026-01-06,40.0,Agent,278
TX0000279,AG04,700 48 38 078,889,in,ok,2026-01-06,22.0,Agent,279
TX0000280,AG01,+226 766 32 55 583,2714,in,Echouee,2026-01-06,68.0,app,280
TX0000281,AG06,7072940509,3038,in,echec,2026-01-06,76.0,USSD,281
TX0000282,AG18,+226 744 59 71 005,749,in,Reussie,2026-01-06,19.0,USSD,282
TX0000283,AG17,+226 711 14 67 766,5178,in,REUSSI,2026-01-06,129.0,Agent,283
TX0000284,AG06,763 13 84 085,1499,in,Reussie,2026-01-06,37.0,Agent,284
TX0000285,AG09,7192907967,2817,out,echec,2026-01-06,28.0,Agent,285
TX0000286,AG01,+226 795 42 35 826,6317,in,OK,2026-01-06,158.0,USSD,286
TX0000287,AG04,+226 732 84 47 160,2188,in,ok,2026-01-06,55.0,Agent,287
TX0000288,AG12,757 81 51 737,7439,in,echec,2026-01-06,186.0,Agent,288
TX0000289,AG05,7025477264,3730,out,OK,2026-01-06,37.0,Agent,289
TX0000290,AG18,7547478209,6871,out,Reussie,2026-01-06,,USSD,290
TX0000291,AG10,7514432715,5708,in,REUSSI,2026-01-06,143.0,Agent,291
TX0000292,AG08,753 38 61 405,15791,out,OK,2026-01-06,158.0,Agent,292
TX0000293,AG11,+226 774 84 92 172,4931,in,Echouee,2026-01-06,123.0,USSD,293
TX0000294,AG03,775 79 34 562,6010,out,ok,2026-01-06,60.0,Agent,294
TX0000295,AG18,+226 751 93 60 814,3409,in,Reussie,2026-01-06,85.0,app,295
TX0000296,AG13,766 22 85 007,1329,in,REUSSI,2026-01-06,33.0,Agent,296
TX0000297,AG08,7007231075,3665,in,OK,2026-01-06,92.0,app,297
TX0000298,AG03,738 78 84 457,1652,in,OK,2026-01-06,41.0,USSD,298
TX0000299,AG08,+226 766 53 93 584,7704,out,REUSSI,2026-01-06,77.0,Agent,299
TX0000300,AG20,+226 704 09 15 490,2964,in,REUSSI,2026-01-06,74.0,Agent,300
TX0000301,AG05,7823357718,402,out,ok,2026-01-06,4.0,USSD,301
TX0000302,AG10,702 96 01 683,844,out,REUSSI,2026-01-06,8.0,Agent,302
TX0000303,AG17,+226 751 09 32 194,478,out,echec,2026-01-06,5.0,Agent,303
TX0000304,AG20,+226 705 78 57 334,3312,out,REUSSI,2026-01-06,33.0,app,304
TX0000305,AG13,+226 738 70 39 955,4301,out,OK,2026-01-06,43.0,Agent,305
TX0000306,AG20,7217371954,838,out,ok,2026-01-06,8.0,Agent,306
TX0000307,AG06,7923922888,5510,out,Reussie,2026-01-06,55.0,Agent,307
TX0000308,AG17,7373655997,378,out,OK,2026-01-06,4.0,Agent,308
TX0000309,AG17,7396822723,16873,in,echec,2026-01-06,422.0,USSD,309
TX0000310,AG18,+226 745 76 86 788,4365,out,Reussie,2026-01-06,44.0,USSD,310
TX0000311,AG19,+226 746 00 54 438,3087,in,OK,2026-01-06,77.0,Agent,311
TX0000312,AG07,+226 795 83 21 817,6306,in,OK,2026-01-06,158.0,Agent,312
TX0000313,AG11,734 54 70 621,10300,out,REUSSI,2026-01-06,103.0,USSD,313
